,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cameroon,62,,44,,45,,87,,65,,69,,67,,4,,60,,59,,"4,100",,438,,46
,Canada,85,,89,,-,,100,x,99,x,98,,98,x,26,x,-,,-,,41,,11,,"6,500"
,Central African Republic,56,,32,,28,,52,,41,,40,,58,,2,,59,,57,,"1,900",,835,,19
,Chad,54,,28,,18,,55,x,31,x,39,,27,,1,,27,,26,,"7,800",,"1,063",,15
,Chile,81,,80,,-,,-,,-,,100,,100,x,50,x,-,,-,,34,,15,,"3,800"
,China,81,,82,,97,x,100,,93,,100,,100,,41,x,-,,-,,"2,800",,23,,"3,100"
,Colombia,76,,78,,87,,97,,90,,99,,97,,43,,-,,-,,550,,75,,780
,Comoros,66,,44,,29,x,92,x,49,x,82,x,76,x,10,x,14,x,49,x,52,,217,,110
,Congo,65,,40,,43,x,94,x,79,x,91,x,92,x,5,x,86,x,80,x,500,,282,,82
,Cook Islands,79,,-,,-,,100,x,-,,100,x,100,x,-,,-,,-,,-,,-,,-
,Costa Rica,80,,78,,81,,98,,94,,99,,98,,28,,97,,92,,14,,22,,"2,600"
,Côte d'Ivoire,60,,45,,44,,93,,51,,74,,70,,3,,83,,80,,"4,400",,480,,46
,Croatia,81,,73,,-,,-,,98,,100,,-,,24,,-,,-,,2,,5,,"15,000"
,Cuba,76,,80,,87,,99,,79,,100,,100,,31,,100,,100,,42,,39,,"1,800"
,Cyprus,83,,79,,-,,99,x,-,,99,,97,x,-,,-,,-,,9,,68,,"1,000"
,Czechia,81,,78,,86,x,-,,-,,100,,100,x,20,x,-,,-,,4,,3,,"17,000"
,Democratic People's Republic of Korea,76,,68,,90,,100,,94,,100,,92,,13,,99,,98,,370,,107,,550
,Democratic Republic of the Congo,62,,39,,33,,82,,43,,85,,82,,5,,57,,50,,"22,000",,547,,29
,Denmark,83,,85,,-,,-,,-,,95,,-,,21,x,-,,-,,3,,5,,"12,000"
,Djibouti,65,,48,,-,,88,x,23,x,87,x,87,x,11,x,-,,-,,56,,234,,160
,Dominica,76,,-,,-,,100,x,-,,100,,-,,-,,-,,-,,-,,-,,-
,Dominican Republic,76,,66,,82,x,98,,93,,99,,98,,63,,94,,90,,220,,107,,390
,Ecuador,78,,80,,79,x,84,x,58,x,97,,93,x,46,x,-,,-,,200,,66,,740
,Egypt,73,,70,,80,x,90,x,83,x,92,x,87,x,52,x,14,x,82,x,420,,17,,"1,900"
,El Salvador,75,,76,,80,x,96,x,90,x,100,,98,x,32,x,97,x,94,x,44,,43,,"1,100"
,Equatorial Guinea,63,,43,,21,x,91,x,67,x,68,x,67,x,7,x,-,,-,,110,,212,,100
,Eritrea,69,,50,,21,x,89,x,57,x,34,x,34,x,3,x,-,,5,x,330,,322,,77
,Estonia,81,,78,,-,,-,,97,x,100,,99,,-,,-,,-,,1,,5,,"11,000"
,Eswatini,61,,58,,83,x,99,x,76,x,88,x,88,x,12,x,90,x,88,x,69,,240,,130
,Ethiopia,68,,38,,64,,74,,43,,50,,48,,2,,35,,34,,"10,000",,267,,86
,Fiji,69,,61,,-,,98,,89,,100,,100,,20,,98,,94,,7,,38,,960
,Finland,85,,83,,-,,100,x,-,,100,,100,x,16,x,-,,-,,4,,8,,"8,600"
,France,86,,84,,96,x,100,x,99,x,98,,98,x,21,x,-,,-,,54,,8,,"7,300"
,Gabon,69,,49,,44,x,95,x,78,x,89,x,90,x,10,x,25,x,60,x,140,,227,,120
,Gambia,64,,48,,40,,98,,79,,84,,84,,4,,83,,88,,400,,458,,47
,Georgia,77,,65,,51,,98,x,85,,100,,99,,41,,-,,-,,14,,28,,"1,700"
,Germany,83,,86,,-,,100,x,99,x,96,,99,x,29,x,-,,-,,34,,4,,"13,000"
,Ghana,66,,45,,40,,97,,85,,79,,78,,13,,91,,85,,"2,400",,263,,100
,Greece,83,,78,,-,,-,,-,,100,,-,,-,,-,,-,,6,,8,,"9,400"
,Grenada,78,,70,,-,,100,x,-,,100,,-,,-,,-,,-,,0,,21,,"2,300"
,Guatemala,73,,57,,66,x,91,x,86,x,70,,65,x,26,x,8,x,78,x,360,,96,,380
,Guinea,60,,37,,38,,81,,35,,55,,53,,3,,43,,49,,"2,600",,553,,37
,Guinea-Bissau,62,,37,,60,,97,,81,,54,,50,,3,,57,,53,,460,,725,,32
,Guyana,69,,74,,52,x,91,x,87,x,95,,93,x,17,x,95,x,93,x,18,,112,,330
,Haiti,66,,47,,45,,91,,67,,42,,39,,5,,38,,31,,950,,350,,94
,Holy See,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,Honduras,73,,63,,76,x,96,,88,,94,,92,,25,,94,,92,,160,,72,,510
,Hungary,78,,73,,-,,-,,-,,100,,-,,31,x,-,,-,,14,,15,,"4,800"
,Iceland,84,,87,,-,,-,,-,,97,,-,,17,x,-,,-,,0,,3,,"18,000"
,India,69,,61,,73,,85,,59,,89,,89,,22,,82,,61,,"24,000",,103,,470
,Indonesia,70,,59,,77,,98,,77,,95,,79,,17,,76,,87,,"7,800",,173,,280
,Iran (Islamic Republic of),77,,77,,69,x,97,x,94,x,99,x,95,x,55,x,-,,-,,270,,22,,"2,600"
,Iraq,72,,55,,54,,88,,68,,96,,87,,33,,78,,83,,900,,76,,350
,Ireland,84,,83,,-,,100,x,-,,100,,100,x,25,x,-,,-,,3,,5,,"12,000"
,Israel,84,,84,,-,,-,,-,,-,,-,,-,,-,,-,,5,,3,,"11,000"
,Italy,85,,83,,-,,99,x,68,x,100,,100,x,40,x,-,,-,,19,,5,,"21,000"
,Jamaica,73,,70,,83,x,98,x,86,x,100,,99,,21,x,-,,-,,33,,99,,730
,Japan,88,,85,,-,,-,,-,,100,,100,x,-,,-,,-,,36,,4,,"22,000"
,Jordan,77,,60,,57,,98,,92,,100,,98,,26,,86,,83,,100,,41,,780
,Kazakhstan,73,,76,,73,,99,x,95,x,100,,99,x,15,x,99,x,98,x,57,,13,,"2,400"
,Kenya,64,,56,,74,,93,,59,,70,,61,x,9,x,36,x,53,x,"7,700",,530,,52
,Kiribati,69,,51,,53,,89,,67,,92,,86,,9,,91,,86,,3,,76,,390
,Kuwait,82,,70,,-,,100,x,-,,100,,99,x,-,,-,,-,,4,,7,,"8,000"
,Kyrgyzstan,74,,70,,65,,100,,94,,100,,100,,8,,98,,96,,81,,50,,580
,Lao People's Democratic Republic,70,,50,,72,,78,,62,,64,,65,,6,,47,,47,,220,,132,,280
,Latvia,78,,72,,-,,92,x,-,,100,,98,x,-,,-,,-,,3,,18,,"3,900"
,Lebanon,77,,72,,-,,96,x,-,,98,x,100,x,-,,-,,-,,18,,21,,"2,300"
,Lesotho,56,,48,,83,,91,,77,,87,,89,,10,x,82,,84,,330,,566,,55
,Liberia,62,,42,,41,,98,,87,,84,,80,,5,,76,,80,,"1,100",,652,,35
,Libya,74,,60,,24,x,93,x,-,,100,x,100,x,-,,-,,-,,88,,72,,580
,Liechtenstein,85,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,Lithuania,79,,70,,-,,100,x,-,,100,,-,,-,,-,,-,,2,,9,,"6,700"
,Luxembourg,85,,86,,-,,-,,97,x,100,x,100,x,29,x,-,,-,,0,,6,,"11,000"
,Madagascar,67,,35,,66,,85,,51,,46,,39,,2,,78,,72,,"3,500",,392,,59
,Malawi,67,,48,,74,,97,,51,,96,,97,,8,,88,,84,,"2,500",,381,,60
,Malaysia,77,,76,,-,,97,x,97,,100,,99,x,21,,-,,-,,110,,21,,"2,300"
,Maldives,81,,69,,29,,99,,82,,100,,95,,40,,82,,80,,4,,57,,840
,Mali,60,,42,,41,,80,,43,,67,,67,,3,,54,,56,,"3,900",,440,,37
,Malta,86,,81,,-,,100,x,-,,100,,100,x,31,,-,,-,,0,,3,,"25,000"
,Marshall Islands,67,,-,,81,x,81,x,77,x,92,,85,x,9,x,-,,-,,-,,-,,-
,Mauritania,66,,40,,30,x,87,x,63,x,69,x,69,x,5,x,58,x,57,x,700,,464,,45
,Mauritius,77,,65,,41,x,-,,-,,100,,98,x,-,,-,,-,,11,,84,,860
,Mexico,75,,74,,80,x,99,x,94,x,97,,97,x,41,x,95,x,95,x,"1,200",,59,,820
,Micronesia (Federated States of),75,,48,,-,,80,x,-,,100,x,87,x,11,x,-,,-,,1,,74,,490
,Monaco,88,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,Mongolia,76,,63,,64,,99,,89,,99,,98,,26,,98,,94,,29,,39,,820
,Montenegro,80,,67,,33,,97,,94,,99,,99,,24,,96,,86,,0,,6,,"9,300"
,Montserrat,77,,-,,-,,-,,-,,100,,-,,-,,-,,-,,-,,-,,-
,Morocco,76,,73,,72,,89,,54,,87,,86,,21,,-,,-,,470,,71,,580
,Mozambique,62,,47,,56,x,94,,51,,73,x,55,x,4,x,28,x,-,,"1,500",,127,,160
,Myanmar,69,,61,,75,,81,,59,,60,,37,,17,,36,,71,,"1,700",,179,,270
,Namibia,63,,62,,80,x,97,x,63,x,88,x,87,x,14,x,20,x,69,x,150,,215,,130
,Nauru,67,,-,,43,x,95,x,40,x,97,x,99,x,8,x,-,,-,,-,,-,,-
,Nepal,70,,53,,62,,89,,78,,77,,78,,15,,69,,68,,"1,100",,174,,240
,Netherlands,83,,86,,-,,-,,-,,-,,-,,14,x,-,,-,,7,,4,,"13,000"
,New Zealand,84,,86,,-,,-,,-,,96,,97,x,23,x,-,,-,,4,,7,,"8,200"
,Nicaragua,77,,70,,90,x,95,x,88,x,94,,71,x,30,x,-,,-,,110,,78,,470
,Niger,63,,37,,46,,84,,37,,44,,44,,1,x,13,x,34,,"4,900",,441,,31
,Nigeria,53,,44,,36,,67,,57,,43,,39,,3,,38,,42,,"82,000",,"1,047",,19
,Niue,73,,-,,-,,100,x,-,,100,x,-,,-,,-,,-,,-,,-,,-
,North Macedonia,76,,68,,30,,97,,96,,100,,99,,38,,99,,94,,1,,3,,"24,000"
,Norway,85,,86,,-,,-,,-,,99,,99,x,16,x,-,,-,,1,,2,,"43,000"
,Oman,75,,69,,40,x,99,x,74,,100,,99,x,19,x,98,x,95,x,15,,17,,"1,900"
,Pakistan,69,,45,,49,,91,,52,,68,,70,,23,,64,,69,,"9,800",,154,,170
,Palau,71,,-,,-,,90,x,81,x,97,,100,x,-,,-,,-,,-,,-,,-
,Panama,80,,77,,65,x,99,x,88,x,95,,96,x,32,x,93,x,92,x,38,,50,,840
,Papua New Guinea,68,,33,,49,,76,,49,,56,,55,,3,,45,,46,,490,,192,,150
,Paraguay,73,,61,,79,,99,,86,,98,,93,,46,,96,,94,,99,,71,,510
,Peru,75,,78,,67,,98,,96,,96,,95,,36,,96,x,97,,410,,69,,600
,Philippines,72,,55,,56,,94,,87,,84,,78,,13,,86,,86,,"1,900",,78,,410
,Poland,80,,74,,-,,-,,-,,100,,100,x,21,x,-,,-,,7,,2,,"37,000"
,Portugal,84,,84,,-,,100,x,-,,99,,99,x,31,x,-,,-,,10,,12,,"6,100"
,Qatar,81,,74,,69,x,91,x,85,x,100,,99,x,20,x,-,,-,,2,,8,,"6,300"
,Republic of Korea,87,,87,,-,,-,,97,x,100,x,100,x,32,x,-,,-,,24,,8,,"18,000"
,Republic of Moldova,74,,67,,64,,99,x,95,x,100,,99,x,16,x,-,,-,,5,,12,,"4,700"
,Romania,78,,71,,47,x,72,,76,x,93,,95,x,34,x,-,,-,,20,,10,,"5,700"
,Russian Federation,75,,75,,72,x,-,,-,,100,,99,x,13,x,-,,-,,200,,14,,"5,300"
,Rwanda,68,,54,,63,x,98,,47,,94,,93,,13,x,19,x,70,,"1,000",,259,,95
,Saint Kitts and Nevis,75,,-,,-,,100,x,-,,100,,-,,-,,-,,-,,-,,-,,-
,Saint Lucia,75,,72,,72,x,97,x,90,x,100,,100,x,19,x,100,x,90,x,1,,73,,790
,Saint Vincent and the Grenadines,72,,73,,-,,100,x,100,x,99,,-,,-,,-,,-,,1,,62,,940
,Samoa,76,,53,,39,x,94,,97,,89,,89,,8,,85,,83,,4,,59,,380
,San Marino,84,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,Sao Tome and Principe,70,,60,,58,,98,,84,x,97,,95,,10,,92,,84,,9,,146,,170
,Saudi Arabia,79,,73,,-,,97,x,-,,99,,-,,-,,-,,-,,110,,16,,"2,500"
,Senegal,69,,49,,53,,98,,56,,75,,80,,7,,81,,80,,"1,400",,261,,80
,Serbia,77,,71,,38,,99,,97,,100,,100,,32,,-,,-,,7,,10,,"7,100"
,Seychelles,76,,70,,-,,-,,-,,100,,-,,-,,-,,-,,0,,3,,"15,000"
,Sierra Leone,61,,39,,53,,98,,79,,87,,83,,4,,83,,86,,"1,200",,443,,52
,Singapore,85,,86,,-,,-,,-,,100,,100,,-,,-,,-,,3,,7,,"13,000"
,Slovakia,78,,77,,-,,97,x,-,,98,,-,,24,x,-,,-,,3,,5,,"15,000"
,Slovenia,84,,80,,-,,100,x,-,,100,x,100,x,-,,-,,-,,1,,5,,"16,000"
,Solomon Islands,72,,50,,38,x,89,x,69,x,86,x,85,x,6,x,16,x,69,x,26,,122,,200
,Somalia,57,,27,,-,,26,x,6,x,9,x,9,x,-,,-,,-,,"4,500",,621,,25
,South Africa,65,,67,,80,,94,,76,,97,,96,,26,,86,,84,,"1,500",,127,,300
,South Sudan,57,,32,,4,x,62,x,17,x,19,x,12,x,1,x,-,,-,,"3,800",,"1,223",,20
,Spain,86,,86,,-,,-,,-,,100,,-,,26,x,-,,-,,12,,3,,"28,000"
,Sri Lanka,80,,67,,74,,99,,93,x,100,,100,,32,x,-,,99,,89,,29,,"1,700"
,State of Palestine,76,,-,,61,,99,,95,,100,,99,,26,,92,,89,,30,,20,,"1,200"
,Sudan,68,,44,,30,x,79,x,51,x,78,x,28,x,9,x,28,x,27,x,"4,100",,270,,78
,Suriname,74,,67,,58,,85,,68,,98,,93,,16,,94,,91,,11,,96,,430
,Sweden,85,,87,,87,,100,x,-,,-,,-,,-,,-,,-,,5,,5,,"13,000"
,Switzerland,86,,87,,-,,-,,-,,-,,-,,30,x,-,,-,,6,,7,,"7,800"
,Syrian Arab Republic,75,,56,,53,x,88,x,64,x,96,x,78,x,26,x,-,,-,,120,,30,,"1,200"
,Tajikistan,74,,66,,52,,92,,64,,95,,88,,5,,90,,92,,44,,17,,"1,600"
,Thailand,83,,83,,88,,99,,90,,99,,99,,35,,-,,-,,190,,29,,"2,500"
,Timor-Leste,70,,53,,46,,84,,77,,57,,49,,4,,31,,35,,67,,204,,140
,Togo,62,,44,,40,,78,,55,,69,,80,,9,,80,,81,,"1,100",,399,,59
,Tokelau,76,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,Tonga,74,,56,,50,,98,,89,,98,,98,,14,,98,,95,,3,,126,,230
,Trinidad and Tobago,76,,73,,58,x,95,x,100,x,100,,98,x,22,x,96,x,92,x,5,,27,,"2,200"
,Tunisia,77,,70,,63,,95,,84,,100,,100,,43,,97,,89,,74,,37,,"1,300"
,Türkiye,79,,79,,60,,96,,90,,97,,99,,52,,68,,79,,220,,17,,"2,800"
,Turkmenistan,73,,73,,80,,100,,98,,100,,100,,8,,100,,100,,7,,5,,"6,300"
,Turks and Caicos Islands,78,,-,,-,,97,,93,,100,,97,,55,,99,,95,,-,,-,,-
,Tuvalu,69,,-,,41,x,94,,60,,100,,99,,20,,97,,89,,-,,-,,-
,Uganda,65,,50,,55,,95,,57,,74,,73,,6,,56,,54,,"4,700",,284,,66
,Ukraine,77,,73,,68,x,99,x,87,x,100,x,99,x,12,x,99,x,96,x,56,,17,,"5,800"
,United Arab Emirates,81,,78,,-,,100,x,-,,99,,100,x,-,,-,,-,,9,,9,,"6,100"
,United Kingdom,83,,88,,87,x,-,,-,,-,,-,,26,x,-,,-,,67,,10,,"5,800"
,United Republic of Tanzania,68,,46,,55,,98,,62,,64,,63,,6,,43,,34,,"5,400",,238,,83
,United States,80,,83,,78,,-,,97,x,99,,-,,31,x,-,,-,,770,,21,,"2,700"
,Uruguay,79,,79,,-,,97,x,77,x,100,,100,x,30,x,-,,-,,7,,19,,"3,900"
,Uzbekistan,73,,71,,-,,99,x,-,,100,,100,,17,,-,,-,,250,,30,,"1,100"
,Vanuatu,73,,52,,51,x,76,x,52,x,89,x,89,x,12,x,-,,-,,8,,94,,260
,Venezuela (Bolivarian Republic of),75,,70,,-,,98,x,84,x,99,,99,x,52,x,-,,-,,"1,200",,259,,160
,Viet Nam,78,,70,,70,x,97,,88,,96,,96,,34,,89,,88,,"1,800",,124,,390
,Yemen,67,,44,,41,x,60,x,25,x,45,x,30,x,5,x,11,x,20,x,"1,900",,183,,130
,Zambia,64,,55,,66,,97,,64,,80,,84,,5,,72,,70,,890,,135,,160
,Zimbabwe,62,,55,,85,x,93,,72,,86,,86,,9,,91,,82,,"1,700",,357,,71
,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,
,East Asia and Pacific,80,,77,,88,,97,,87,,95,,89,,-,,-,,-,,"18,000",,74,,840
,Europe and Central Asia,80,,73,,74,,-,,-,,98,,-,,-,,-,,-,,"1,300",,13,,"4,500"
,   Eastern Europe and Central Asia,76,,74,,67,,-,,-,,99,,98,,32,,-,,-,,"1,000",,19,,"2,900"
,   Western Europe,84,,84,,82,,-,,-,,98,,-,,-,,-,,-,,290,,6,,"11,000"
,Latin America and Caribbean,76,,74,,83,,96,j,90,,95,,94,,47,,-,,84,j,"8,400",,88,,570
,Middle East and North Africa,75,,69,,70,,-,,-,,-,,-,,-,,-,,-,,"5,200",,56,,660
,North America,81,,84,,83,,-,,-,,99,,-,,-,,-,,-,,810,,20,,"2,900"
,South Asia,69,,58,,73,,85,,55,,81,,81,,22,,74,,62,,"47,000",,138,,320
,Sub-Saharan Africa,62,,36,,53,,83,,54,,62,,60,,5,,52,,50,,"206,000",,536,,41
,   Eastern and Southern Africa,65,,47,,63,,89,,56,,66,,64,,6,,52,,50,,"59,000",,324,,71
,   West and Central Africa,58,,42,,38,,78,,53,,60,,58,,4,,52,,51,,"147,000",,724,,27
,Least developed countries,66,,45,,59,,84,,49,,66,,62,,9,,51,,50,,-,,-,,-
,World,74,,67,,78,,88,,65,,82,,78,,18,,67,,62,,"287,000",,223,,210
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For a complete list of countries and areas in the regions, subregions and country categories, see page on Regional Classifications or visit <data.unicef.org/regionalclassifications>.",,,,,,,,,,,,,,,,,,,,,,,,,
,It is not advisable to compare data from consecutive editions of The State of the World’s Children report.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,
,- Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,
,j Excludes Brazil and Mexico.,,,,,,,,,,,,,,,,,,,,,,,,,
,R Data refer to the most recent year available during the period specified in the column heading.,,,,,,,,,,,,,,,,,,,,,,,,,
,x Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,,,,,,,,,,,,,,,,,,,,,,,,
,"C Maternal mortality estimates are from the 2023 United Nations inter-agency maternal mortality estimates. Periodically, the United Nations Maternal Mortality Estimation Inter-agency Group (WHO, UNICEF, UNFPA, the World Bank and the United Nations Population Division) produces internationally comparable sets of maternal mortality data that account for the well-documented problems of under-reporting and misclassification of maternal deaths, including also estimates for countries with no data. Please note that owing to an evolving methodology, these values are not comparable with previously reported maternal mortality ratio 'adjusted' values.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEFINITIONS OF THE INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,
,Life expectancy at birth – Number of years newborn female children would live if subject to the mortality risks prevailing for the cross–section of population at the time of their birth.,,,,,,,,,,,,,,,,,,,,,,,,,
,"Universal health coverage Service Coverage sub-index on reproductive, maternal, newborn and child health - Average coverage of essential services based on eight tracer indicators related to interventions across reproductive, maternal, newborn and child health areas. The index is calculated as a weighted average of the included indicators and is reported on a scale of 0 to 100.",,,,,,,,,,,,,,,,,,,,,,,,,
,Demand for family planning satisfied with modern methods - Percentage of adolescent girls and women (aged 15–49) who have their need for family planning satisfied with modern methods.,,,,,,,,,,,,,,,,,,,,,,,,,
,"Antenatal care (at least one visit) – Percentage of adolescent girls and women (aged 15–49) attended at least once during pregnancy by skilled health personnel (typically a doctor, nurse or midwife).",,,,,,,,,,,,,,,,,,,,,,,,,
,Antenatal care (at least four visits) – Percentage of adolescent girls and women (aged 15–49) attended by any provider at least four times.,,,,,,,,,,,,,,,,,,,,,,,,,
,"Skilled birth attendant – Percentage of births from adolescent girls and women (aged 15–49) attended by skilled heath personnel (typically a doctor, nurse or midwife).",,,,,,,,,,,,,,,,,,,,,,,,,
,Institutional delivery – Percentage of adolescent girls and women (aged 15–49) who gave birth in a health facility.,,,,,,,,,,,,,,,,,,,,,,,,,
,C-section – Percentage of births delivered by Caesarean section. NB: C-section rates between 10 per cent and 15 per cent are expected with adequate levels of emergency obstetric care.,,,,,,,,,,,,,,,,,,,,,,,,,
,"Postnatal health check for newborn – Percentage of last live births in the last two years who received a health check within two days after delivery. NB: For MICS, health check refers to a health check while in facility or at home following delivery or a postnatal visit.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Postnatal health check for mother – Percentage of adolescent girls and women (aged 15–49) who received a health check within 2 days after delivery of their most recent live birth in the last 2 years. NB: For MICS, health check refers to a health check while in facility or at home following delivery or a postnatal visit.",,,,,,,,,,,,,,,,,,,,,,,,,
,Number of maternal deaths – Number of deaths of women from pregnancy-related causes (modelled estimates).,,,,,,,,,,,,,,,,,,,,,,,,,
,"Maternal mortality ratio – Number of deaths of women from pregnancy-related causes per 100,000 live births during the same time period (modelled estimates).",,,,,,,,,,,,,,,,,,,,,,,,,
,"Lifetime risk of maternal death – Lifetime risk of maternal death takes into account both the probability of becoming pregnant and the probability of dying as a result of that pregnancy, accumulated across a woman’s reproductive years (modelled estimates).",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAIN DATA SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,
,"Life expectancy – United Nations Population Division, World Population Prospects 2022. Last update: July 2022.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Universal health coverage Service Coverage sub-index on reproductive, maternal, newborn and child health – WHO, based on DHS, MICS and other national household surveys. Last update: February 2022.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Demand for family planning satisfied with modern methods – United Nations, Department of Economic and Social Affairs, Population Division, United Nations Population Fund (UNFPA), based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Reproductive Health Surveys, other national surveys, and National Health Information Systems (HIS). Last Update: August 2022.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Antenatal care (at least one visit) – DHS, MICS and other national household surveys. Last update: September 2022.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Antenatal care (at least four visits) – DHS, MICS and other national household surveys. Last update: September 2022.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Skilled birth attendant – Joint UNICEF/WHO SAB database, based on DHS, MICS and other national household surveys as well as national administrative data. Last update: September 2022.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Institutional delivery – DHS, MICS and other national household surveys. Last update: September 2022.",,,,,,,,,,,,,,,,,,,,,,,,,
,"C-section – DHS, MICS and other national household surveys. Last update: September 2022.",,,,,,,,,,,,,,,,,,,,,,,,,
